Date,Nvidia,AAPL,BAESY,CJJD,AZN,SAS,TSLA,Saab AB,PFE,GME,HSBC,LVMH,,,,,,,,,,,,,
24/03/2014,-0.0345,0.0075,-0.0007,-0.1783,0.0165,-0.0309,-0.0722,0.0641,-0.0093,0.074,0.0207,0.0372,,,,,,,,,,,,,
31/03/2014,0.014,-0.0094,0.0007,-0.0566,-0.012,0.0638,-0.0007,0.034,0.0088,0.0547,-0.001,-0.0007,,,,,,,,,,,,,
07/04/2014,-0.0017,-0.023,-0.019,0.08,-0.0283,-0.0533,-0.0398,-0.008,-0.0715,-0.0542,0.0163,0.0565,,,,,,,,,,,,,
14/04/2014,0.0243,0.0103,-0.0119,-0.0463,0.0142,-0.0282,-0.0278,0.0254,0.0131,0.0234,0.0099,0.0106,,,,,,,,,,,,,
21/04/2014,0.0092,0.0895,0.058,0.0437,0.0814,0.0326,0.0087,-0.003,0.0165,-0.0506,-0.0251,0.0083,,,,,,,,,,,,,
28/04/2014,-0.016,0.0361,0.0051,-0.0744,0.18,-0.0175,0.0553,-0.0161,0,0.014,0.0043,-0.0081,,,,,,,,,,,,,
05/05/2014,-0.0206,-0.0119,0.0088,-0.0101,-0.0467,-0.1214,-0.1358,-0.0194,-0.0559,-0.0842,-0.0145,0.0075,,,,,,,,,,,,,
12/05/2014,-0.005,0.0261,0.012,-0.0051,0.0394,-0.0041,0.051,-0.0146,0.012,-0.0093,0.0572,0.0134,,,,,,,,,,,,,
19/05/2014,0.0295,0.0278,0.0036,-0.1684,-0.0997,0.0367,0.0822,0.0095,0.0127,0.061,-0.0244,-0.0042,,,,,,,,,,,,,
26/05/2014,0.0323,0.0307,0.02,0.092,-0.0011,0,0.0023,0.0026,0.0047,-0.0151,0.0253,0.0196,,,,,,,,,,,,,
02/06/2014,0.0016,0.0199,0.0088,-0.0899,0.0091,0.0709,0.0019,0.0172,-0.0071,-0.0151,-0.0049,-0.0185,,,,,,,,,,,,,
09/06/2014,0.0268,-0.0102,0.0104,-0.0123,0.0189,-0.0735,-0.0084,0.0385,0.0037,0.0009,-0.004,0.008,,,,,,,,,,,,,
16/06/2014,-0.0312,-0.0041,0.0048,-0.0313,0.0166,0,0.1122,-0.0163,0.0085,0.0843,-0.0088,0.009,,,,,,,,,,,,,
23/06/2014,-0.0291,0.0118,0.0171,-0.0774,-0.0182,-0.0317,0.0412,0.0231,-0.0037,0.006,-0.0162,-0.0367,,,,,,,,,,,,,
30/06/2014,0.0256,0.0223,-0.0077,0.1818,0.0208,0.041,-0.041,0.0147,0.029,0.0349,0.022,0.0036,,,,,,,,,,,,,
07/07/2014,0.0106,0.0127,-0.0224,-0.0828,-0.0149,0.0157,-0.0485,-0.03,-0.0151,-0.0125,-0.0282,-0.0106,,,,,,,,,,,,,
14/07/2014,-0.032,-0.0083,0.0021,-0.0516,0.0001,-0.031,0.0087,-0.021,0.0219,0.0386,0.0101,-0.0068,,,,,,,,,,,,,
21/07/2014,-0.0352,0.0343,0.01,0.0612,-0.0005,0.012,0.0161,0.001,-0.0176,0.0665,0.0335,-0.0488,,,,,,,,,,,,,
28/07/2014,-0.0056,-0.0158,-0.0103,-0.0705,-0.0254,-0.0079,0.0434,-0.0586,-0.0441,-0.0976,0.0011,-0.0258,,,,,,,,,,,,,
04/08/2014,0.0741,-0.0145,-0.0059,0.0207,-0.0565,-0.0598,0.0637,-0.0341,-0.0094,-0.0126,0.0021,-0.0125,,,,,,,,,,,,,
11/08/2014,0.0021,0.0393,0.023,-0.0135,0.0007,-0.0127,0.0559,0.0319,0.0106,-0.026,0.0157,0.0043,,,,,,,,,,,,,
18/08/2014,0.0021,0.0341,-0.0024,-0.0068,0.0798,-0.0258,-0.02,0.0141,0.0098,0.0822,-0.0095,0.0181,,,,,,,,,,,,,
25/08/2014,0.0239,0.0116,0.0061,-0.0207,0.0405,-0.0044,0.0503,0.0086,0.0163,-0.0163,0.0236,0.0197,,,,,,,,,,,,,
01/09/2014,0.0267,-0.0344,0.0098,-0.0141,-0.0167,0.0133,0.0285,-0.0048,0.0088,0.0803,-0.0009,0.0348,,,,,,,,,,,,,
08/09/2014,-0.0426,0.0272,0.001,-0.0214,-0.0193,0.0742,0.0065,0.0123,-0.0074,-0.036,-0.0118,-0.0033,,,,,,,,,,,,,
15/09/2014,-0.0021,-0.0069,0.0308,0.0292,0.0194,0.061,-0.0712,-0.0548,0.033,-0.0053,0.0109,-0.0128,,,,,,,,,,,,,
22/09/2014,-0.0278,-0.0021,-0.0016,0.3404,-0.0369,-0.023,-0.0491,-0.0223,-0.0224,-0.0309,-0.0163,-0.0268,,,,,,,,,,,,,
29/09/2014,-0.0173,-0.0112,-0.041,0.0106,-0.0295,-0.0588,0.0349,0.0085,-0.0168,-0.0376,-0.0501,-0.0229,,,,,,,,,,,,,
06/10/2014,-0.0757,0.0111,-0.0289,-0.0838,-0.0205,-0.0792,-0.0717,-0.0384,-0.0031,-0.0531,-0.0129,-0.0223,,,,,,,,,,,,,
13/10/2014,0.0338,-0.0304,0.001,-0.1714,-0.0088,0.0226,-0.0398,-0.0006,-0.0446,0.0405,0.0086,0.0016,,,,,,,,,,,,,
20/10/2014,0.0608,0.0773,-0.0021,0,0.0341,0.0354,0.0341,0.0688,0.046,0.0544,0.0094,0.0244,,,,,,,,,,,,,
27/10/2014,0.0574,0.0264,0.0485,0.2414,0.0402,-0.0299,0.0275,0.0974,0.0289,0.0174,0.0172,0.0554,,,,,,,,,,,,,
03/11/2014,0.0128,0.0094,-0.0146,-0.0389,-0.0008,0.0308,-0.0062,-0.005,-0.001,0.0217,-0.0182,-0.0107,,,,,,,,,,,,,
10/11/2014,0,0.052,-0.0045,0.1503,-0.0004,-0.0085,0.0769,0.0126,0.0228,0.0163,0.0036,0.0288,,,,,,,,,,,,,
